danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,name,id
0.674,0.8,-4.297,0.0413,0.104,0,0.0806,0.591,91.984,Если хочешь остаться,5giUrYp6suKOST0JGLTvr2
0.619,0.601,-7.484,0.026,0.182,0,0.0987,0.356,95.029,Притяженья больше нет,0uGFCG5L276lZQwqlGK8Ti
0.816,0.819,-3.76,0.149,0.366,0,0.0616,0.961,134.996,Жадина,1jD86PzYVM0CsRfbvZUyq6
0.886,0.727,-5.667,0.183,0.0296,0,0.339,0.6,137.96,Мох,5IEPzc47SMqni178gRd0dt
0.788,0.859,-2.724,0.0856,0.281,0,0.0424,0.822,141.02,Shivers,50nfwKoDiSYg8zOCREWAm5
0.773,0.742,-3.678,0.046,0.0206,0,0.0754,0.571,114.071,Bones,0HqZX76SFLDz2aW8aiqi7G
0.556,0.707,-6.223,0.0289,0.141,0,0.099,0.482,131.709,Некрещёная луна,1ZSO95EgsSwCHmlJyhMzwY
0.49,0.881,-7.645,0.0444,0.0325,0.0421,0.215,0.811,167.431,"Мама, мы все тяжело больны",5AzP7yyLAdKl81sO0yd4PG
0.514,0.882,-4.406,0.0862,0.0043,2.52e-06,0.156,0.424,104.85,Won’t Stand Down,6hIr2IDeBDXfRFk0rYe5Tz
0.544,0.383,-10.143,0.0334,0.67,0.00204,0.125,0.367,145.025,Eyes on Fire,3XHrTm6WE2BOHafLwTT3GR
0.53,0.843,-5.352,0.0348,0.0176,5.91e-06,0.0417,0.48,150.042,Космос,0DTqImOlPDFioFJ0uWRbDR
0.503,0.33,-9.522,0.0284,0.827,0.000721,0.0771,0.041,147.876,Обійми,5561HkcMU0A4i3D6Tlsxhe
0.738,0.741,-4.558,0.265,0.00616,0,0.436,0.499,80.427,Агент,41FPhr343g9HharSTofnzp
0.615,0.67,-5.796,0.387,0.104,0,0.195,0.299,87.595,КТО УБИЛ МАРКА?,0Rw4D9wutsFF7oMSStiiLb
0.672,0.73,-4.77,0.0372,0.113,0,0.0612,0.559,123.969,Collide,5sv0WnUs74Orn6GoPmC5im
0.799,0.614,-7.404,0.151,0.277,0,0.0722,0.575,92.064,Loverboy,5L2qd1EBfNQJBW0FivYmXj
0.764,0.705,-3.463,0.0284,0.259,8.92e-05,0.12,0.781,110.97,Kiss Me More (feat. SZA),3DarAbFujv6eYNliUTyqtz
0.523,0.94,-4.679,0.0652,0.0116,0,0.35,0.681,149.973,Некуда бежать,5uqBPTVeyNBJV71uPA0hLj
0.704,0.785,-11.521,0.0311,0.00378,0.0277,0.0619,0.837,120.134,Красно-жёлтые дни,6ngb0wJrb7k4fzHwnqOveE
0.556,0.648,-8.02,0.342,0.161,0.00011,0.34,0.386,170.038,Время,1WCWCJJmWir10gdOuaeCvm
0.764,0.672,-5.947,0.0293,0.072,3.32e-06,0.0806,0.789,129.049,Good Ones,2grSOc6HNTXQQXNoRKt9UM
0.577,0.91,-4.514,0.06,0.0538,0.000234,0.36,0.272,125.121,Перезаряжай,393CkUgYBG7l3hZKvZZmdf
0.766,0.915,-4.733,0.218,0.06,0,0.0678,0.615,119.979,Лондонград,3oYMlSrPxXcCdrSxb1MZjA
0.434,0.663,-6.647,0.0266,0.401,0.000586,0.0823,0.52,84.912,Твоим именем,2Oon7wae3wDbwNr7QLfGQu
0.682,0.343,-13.084,0.0263,0.606,0,0.119,0.465,80.008,Осенняя,4K2PjvpInsRS5T0tDwqXz5
