danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
0.904,0.813,-7.105,0.121,0.0311,0.00697,0.0471,0.81,125.461,pop
0.774,0.838,-3.914,0.114,0.0249,0.025,0.242,0.924,143.04,pop
0.664,0.758,-6.583,0.21,0.00238,0.0,0.0598,0.701,99.259,pop
0.892,0.714,-6.055,0.141,0.201,0.000234,0.0521,0.817,100.972,pop
0.881,0.788,-4.669,0.168,0.0212,0.0,0.0377,0.592,104.997,pop
0.662,0.507,-8.238,0.118,0.257,0.0,0.0465,0.676,86.412,pop
0.57,0.821,-4.38,0.267,0.178,0.0,0.289,0.408,210.857,pop
0.713,0.678,-3.525,0.102,0.273,0.0,0.149,0.734,138.009,pop
0.808,0.97,-6.098,0.0506,0.0569,6.13e-05,0.154,0.868,114.328,pop
0.71,0.553,-4.722,0.0292,0.00206,5.48e-05,0.0469,0.731,99.005,pop
0.66,0.666,-4.342,0.0472,0.0759,0.0,0.0268,0.933,89.975,pop
0.687,0.71,-5.84,0.0522,0.0283,3.71e-06,0.0689,0.886,79.235,pop
0.487,0.9,-4.417,0.0482,6.79e-05,0.0,0.358,0.484,149.937,pop
0.846,0.482,-6.721,0.129,0.0246,0.0,0.393,0.212,100.969,pop
0.705,0.796,-6.845,0.267,0.0708,0.0,0.388,0.864,166.042,pop
0.771,0.685,-4.639,0.0567,0.00543,0.00157,0.0537,0.683,88.997,pop
0.717,0.733,-4.985,0.0427,0.0398,0.0,0.136,0.713,119.996,rock
0.835,0.687,-3.18,0.184,0.101,0.0,0.132,0.828,94.059,pop
0.728,0.801,-3.636,0.0752,0.00349,0.000195,0.0907,0.813,119.989,rock
0.536,0.612,-5.847,0.272,0.119,0.0,0.209,0.57,86.768,pop
0.659,0.869,-5.858,0.046,0.00357,0.0,0.302,0.811,106.966,pop
0.615,0.711,-5.507,0.0779,0.0444,0.0,0.145,0.711,144.036,pop
0.673,0.683,-5.693,0.115,0.522,0.0,0.235,0.713,171.86,pop
0.652,0.698,-4.667,0.042,0.00112,0.000115,0.0886,0.47,96.021,pop
0.669,0.822,-4.288,0.043,0.0339,0.000142,0.231,0.43,120.011,pop
0.829,0.627,-3.928,0.0759,0.00663,0.0,0.0939,0.72,120.048,pop
0.709,0.745,-6.437,0.0738,0.0225,5.2e-05,0.154,0.576,126.027,pop
0.58,0.75,-4.421,0.194,0.159,0.0,0.274,0.728,86.938,pop
0.356,0.924,-3.74,0.0808,0.00101,0.0,0.0953,0.232,148.017,rock
0.442,0.893,-4.878,0.0505,0.00844,0.0,0.529,0.712,148.119,punk
0.442,0.893,-4.878,0.0505,0.00844,0.0,0.529,0.712,148.119,rock
